Date,Forecasted_Revenue,Lower_Bound,Upper_Bound,Actual_Revenue
2009-12-01,774163.8533636302,710593.6898480024,840979.9910376113,686654.16
2010-01-01,531553.6559579832,465546.5201711624,596851.651735665,557319.0599999999
2010-02-01,467433.64692811226,398566.29383912636,536568.7032982801,506371.06
2010-03-01,663838.2672179919,594381.1147161343,727177.3106960197,699608.9900000001
2010-04-01,575975.8203051285,507400.76540528436,638062.7447709618,594609.19
2010-05-01,600129.3491189685,535521.572480824,664766.6385692208,599985.79
2010-06-01,656729.0915944552,587666.1342994284,726506.8427197018,639066.58
2010-07-01,621127.2565899935,552510.8615242118,686605.1398300566,591636.74
2010-08-01,637267.1824970981,570246.2547151301,704415.5215145198,604242.65
2010-09-01,862390.0146704916,798312.8867942663,933756.7463389942,831615.0
2010-10-01,1055985.0922717901,988712.4158021378,1117497.709079119,1036679.9999999999
2010-11-01,1174249.8900730782,1101519.4328437073,1245172.1427343655,1172336.04
2010-12-01,695969.6807735825,628925.3516222744,766663.7207368853,884591.89
2011-01-01,595086.2759635545,528132.917420082,657830.4227835549,569445.04
2011-02-01,485987.4147556416,417967.0202802475,552924.1272793664,447137.35
2011-03-01,631492.1270159951,567970.4941178281,700992.0492220212,595500.76
2011-04-01,488047.09702751855,425976.78859340237,555719.6647209862,469200.36000000004
2011-05-01,678680.071387737,611259.2146538486,742142.9184765087,678594.5599999999
2011-06-01,643761.3414137742,576023.3482191327,711324.0795567407,661213.6900000001
2011-07-01,570708.4513132429,509065.0234764969,635882.7930728537,600091.01
2011-08-01,612334.9604621534,542953.2233593974,680080.5771547114,645343.9
2011-09-01,921970.860319552,858817.8946006548,986933.7328974699,952838.38
2011-10-01,1019786.1749221482,955020.2929987443,1091616.596351395,1039318.7899999999
2011-11-01,1159620.6062017134,1093568.376526288,1226885.7233827347,1161817.3800000001
2011-12-01,619160.4623581948,547754.5635311108,689312.3578266934,518210.79
2012-01-01,659963.4620312932,596198.6641903314,724398.5425716199,
2012-02-01,503548.1193315836,433904.8104575682,569343.85320106,
2012-03-01,685331.99786216,617713.2490835306,751932.0725333843,
2012-04-01,716140.2961638815,651610.6847806955,782340.099284935,
2012-05-01,406407.41598856985,340675.7789359209,473807.4164815673,
2012-06-01,639135.7034234334,574613.4122446547,706453.6283157839,
