Country,Year,Month,Total_Revenue,Total_Units,Total_Orders,Unique_Customers
United Kingdom,2009,12,613214.9,361783,1429,904
France,2009,12,6521.69,3688,13,10
Australia,2009,12,271.1,160,2,2
Portugal,2009,12,2821.58,1575,2,2
Norway,2009,12,485.31,182,1,1
Austria,2009,12,1998.34,564,2,2
Sweden,2009,12,285.3,174,1,1
Belgium,2009,12,447.6,153,3,2
Poland,2009,12,371.82,266,1,1
USA,2009,12,141.0,1,1,1
Netherlands,2009,12,15204.73,10822,6,2
Cyprus,2009,12,3556.98,1578,4,3
Italy,2009,12,422.35,157,1,1
Finland,2009,12,549.08,134,1,1
Germany,2009,12,10096.85,4828,18,10
Channel Islands,2009,12,989.18,439,1,1
Spain,2009,12,7950.18,3279,5,4
Greece,2009,12,610.95,441,1,1
Switzerland,2009,12,589.4,220,1,1
United Arab Emirates,2009,12,517.7,520,1,1
EIRE,2009,12,18170.46,8615,16,2
Denmark,2009,12,1437.66,574,2,2
EIRE,2010,1,65031.41,30807,30,5
Finland,2010,1,801.42,263,2,2
Netherlands,2010,1,29230.77,20531,6,3
Channel Islands,2010,1,838.75,193,1,1
Denmark,2010,1,7870.6,63754,2,2
Greece,2010,1,4798.35,1573,3,2
Unspecified,2010,1,1035.1,382,2,2
Japan,2010,1,2.95,1,1,1
Sweden,2010,1,1680.15,1537,3,2
Belgium,2010,1,1634.02,717,4,3
Cyprus,2010,1,76.52,32,1,1
Portugal,2010,1,117.72,1,1,1
Italy,2010,1,39.67,1,1,1
Nigeria,2010,1,27.82,1,1,1
United Kingdom,2010,1,416635.24,236956,906,663
France,2010,1,8465.63,5313,12,9
Germany,2010,1,12562.11,6321,21,13
Spain,2010,1,4181.24,1194,9,6
USA,2010,1,2289.59,1344,5,2
Spain,2010,2,554.04,279,4,3
EIRE,2010,2,20206.46,11249,17,3
Belgium,2010,2,3209.0,704,3,2
Australia,2010,2,1029.66,624,3,3
Cyprus,2010,2,750.49,294,2,1
Switzerland,2010,2,477.68,306,1,1
Denmark,2010,2,19809.9,93230,2,1
United Kingdom,2010,2,411077.93,235073,1001,713
Sweden,2010,2,8202.58,8497,7,3
Portugal,2010,2,458.83,245,3,2
Japan,2010,2,193.72,117,2,2
Germany,2010,2,9124.25,4789,27,18
France,2010,2,9024.16,4996,17,12
Austria,2010,2,1118.86,480,3,3
Netherlands,2010,2,17255.39,9883,8,2
Malta,2010,2,1636.38,606,2,1
RSA,2010,2,931.43,591,1,1
United Arab Emirates,2010,2,1310.3,798,1,1
Greece,2010,3,522.73,259,1,1
Channel Islands,2010,3,1065.12,996,1,1
Netherlands,2010,3,24447.98,16662,15,4
EIRE,2010,3,22989.46,14797,27,3
Belgium,2010,3,904.02,487,3,3
Sweden,2010,3,1337.58,560,5,4
Japan,2010,3,110.4,48,1,1
Australia,2010,3,429.39,191,2,2
United Kingdom,2010,3,589725.01,385372,1396,984
Portugal,2010,3,2519.05,1349,2,2
Italy,2010,3,734.22,499,2,2
Norway,2010,3,13916.34,2,2,1
Cyprus,2010,3,2879.19,1055,5,4
United Arab Emirates,2010,3,1201.52,1359,1,1
Switzerland,2010,3,951.62,454,3,2
Poland,2010,3,318.86,194,1,1
Spain,2010,3,1680.52,1043,6,4
France,2010,3,8657.59,4553,16,12
Germany,2010,3,16698.08,8883,28,19
Denmark,2010,3,7595.18,64302,2,2
Austria,2010,3,925.13,401,5,4
Switzerland,2010,4,1939.76,1201,2,2
Belgium,2010,4,2570.39,1445,4,4
Portugal,2010,4,85.54,46,1,1
Denmark,2010,4,748.0,576,1,1
United Kingdom,2010,4,503425.74,291692,1222,876
Netherlands,2010,4,6888.78,4944,10,8
Italy,2010,4,1525.85,890,2,2
Greece,2010,4,277.93,94,1,1
Singapore,2010,4,1252.95,509,1,1
Australia,2010,4,630.95,560,2,2
Channel Islands,2010,4,926.82,367,1,1
Spain,2010,4,833.98,490,2,2
Austria,2010,4,1388.54,798,1,1
France,2010,4,7405.18,3985,10,8
Unspecified,2010,4,252.52,153,1,1
Sweden,2010,4,17698.12,18648,16,3
Germany,2010,4,23683.23,12557,31,22
EIRE,2010,4,20668.08,11962,16,3
Cyprus,2010,4,1151.7,459,2,1
Finland,2010,4,1255.13,649,3,2
Cyprus,2010,5,515.61,144,1,1
Bahrain,2010,5,488.21,303,1,1
Channel Islands,2010,5,5378.52,2403,6,4
Belgium,2010,5,98.15,38,1,1
USA,2010,5,416.31,413,2,1
United Kingdom,2010,5,503483.12,328210,1270,901
Germany,2010,5,9108.36,4246,17,14
Spain,2010,5,2854.58,1498,5,3
Sweden,2010,5,3556.76,6084,10,1
Italy,2010,5,2374.7,1043,4,3
Finland,2010,5,837.11,370,1,1
France,2010,5,13958.15,8941,16,14
Netherlands,2010,5,22416.53,14910,8,6
Australia,2010,5,2371.15,667,6,4
Switzerland,2010,5,9825.16,5947,6,5
EIRE,2010,5,18447.91,9403,18,2
Greece,2010,5,2476.22,806,2,2
Portugal,2010,5,757.2,216,2,2
